	Time [s]	Theta 1 (Bottom Pendulum) (Relative Rotation X) [°]	
377	0.14347	-0.79996	
378	0.14384	-0.80452	
379	0.14422	-0.80954	
380	0.14459	-0.81495	
381	0.14478	-0.81777	
382	0.145	-0.82127	
383	0.14526	-0.82537	
384	0.14555	-0.82997	
385	0.14585	-0.83497	
386	0.14617	-0.84025	
387	0.14651	-0.8457	
388	0.14686	-0.85121	
389	0.14722	-0.85667	
390	0.14759	-0.86199	
391	0.14798	-0.86708	
392	0.14838	-0.87187	
393	0.1488	-0.87628	
394	0.14924	-0.88026	
395	0.14973	-0.88377	
396	0.15032	-0.88683	
397	0.15096	-0.88886	
398	0.15127	-0.88944	
399	0.15162	-0.88982	
400	0.152	-0.88996	
401	0.15238	-0.88989	
402	0.15277	-0.88969	
403	0.15316	-0.88941	
404	0.15336	-0.88928	
405	0.15359	-0.88914	
406	0.15386	-0.88902	
407	0.15414	-0.88898	
408	0.15445	-0.88905	
409	0.15477	-0.88929	
410	0.1551	-0.88974	
411	0.15544	-0.89047	
412	0.15578	-0.89149	
413	0.15613	-0.89285	
414	0.15648	-0.89457	
415	0.15683	-0.89668	
416	0.15718	-0.89917	
417	0.15753	-0.90208	
418	0.15788	-0.90538	
419	0.15824	-0.90909	
420	0.1586	-0.91319	
421	0.15896	-0.91767	
422	0.15932	-0.92251	
423	0.15969	-0.92767	
424	0.16005	-0.93312	
425	0.16043	-0.93883	
426	0.1608	-0.94474	
427	0.16119	-0.9508	
428	0.16158	-0.95694	
429	0.16197	-0.96309	
430	0.16238	-0.96917	
431	0.16279	-0.97508	
432	0.16322	-0.98073	
433	0.16366	-0.98602	
434	0.16412	-0.99082	
435	0.1646	-0.99502	
436	0.16511	-0.99849	
437	0.16566	-1.0011	
438	0.16626	-1.0028	
439	0.16697	-1.0033	
440	0.16777	-1.0027	
441	0.16817	-1.0023	
442	0.1686	-1.0018	
443	0.16905	-1.0015	
444	0.16951	-1.0016	
445	0.16997	-1.0023	
446	0.1702	-1.003	
447	0.17048	-1.004	
448	0.17078	-1.0054	
449	0.17111	-1.0075	
450	0.17145	-1.0101	
451	0.17181	-1.0135	
452	0.17218	-1.0174	
453	0.17255	-1.022	
454	0.17292	-1.0271	
455	0.17329	-1.0327	
456	0.17348	-1.0356	
457	0.1737	-1.0393	
458	0.17396	-1.0436	
459	0.17424	-1.0485	
460	0.17455	-1.0538	
461	0.17487	-1.0595	
462	0.17521	-1.0654	
463	0.17556	-1.0714	
464	0.17592	-1.0774	
465	0.1763	-1.0833	
466	0.17669	-1.0891	
467	0.1771	-1.0945	
468	0.17752	-1.0997	
469	0.17799	-1.1044	
470	0.1785	-1.1088	
471	0.17917	-1.113	
472	0.1795	-1.1146	
473	0.17987	-1.1159	
474	0.18027	-1.117	
475	0.18067	-1.1177	
476	0.18108	-1.1181	
477	0.18129	-1.1182	
478	0.18153	-1.1183	
479	0.18181	-1.1184	
480	0.18211	-1.1185	
481	0.18243	-1.1185	
482	0.18276	-1.1187	
483	0.18309	-1.1189	
484	0.18344	-1.1192	
485	0.18379	-1.1198	
486	0.18414	-1.1206	
487	0.18449	-1.1216	
488	0.18485	-1.1229	
489	0.1852	-1.1245	
490	0.18556	-1.1264	
491	0.18591	-1.1287	
492	0.18627	-1.1313	
493	0.18662	-1.1341	
494	0.18698	-1.1374	
495	0.18734	-1.1409	
496	0.1877	-1.1447	
497	0.18807	-1.1487	
498	0.18844	-1.153	
499	0.18881	-1.1575	
500	0.18918	-1.1621	
501	0.18956	-1.1668	
502	0.18995	-1.1715	
503	0.19034	-1.1762	
504	0.19074	-1.1808	
505	0.19115	-1.1851	
506	0.19157	-1.1891	
507	0.19201	-1.1927	
508	0.19246	-1.1957	
509	0.19293	-1.1981	
510	0.19343	-1.1997	
511	0.19395	-1.2003	
512	0.19453	-1.1998	
513	0.19518	-1.198	
514	0.19596	-1.1946	
515	0.19677	-1.1905	
516	0.19718	-1.1886	
517	0.19761	-1.1868	
518	0.19805	-1.1855	
519	0.1985	-1.1848	
520	0.19873	-1.1847	
521	0.199	-1.185	
522	0.1993	-1.1856	
523	0.19962	-1.1868	
524	0.19997	-1.1886	
525	0.20032	-1.1912	
526	0.20069	-1.1944	
527	0.20106	-1.1984	
528	0.20143	-1.2029	
529	0.2018	-1.208	
530	0.20217	-1.2136	
531	0.20236	-1.2165	
532	0.20258	-1.2202	
533	0.20284	-1.2245	
534	0.20313	-1.2294	
535	0.20343	-1.2347	
536	0.20376	-1.2403	
537	0.2041	-1.2461	
538	0.20446	-1.252	
539	0.20483	-1.2578	
540	0.20521	-1.2636	
541	0.20562	-1.2691	
542	0.20604	-1.2743	
543	0.2065	-1.2792	
544	0.20701	-1.2837	
545	0.20767	-1.2881	
546	0.208	-1.2897	
547	0.20837	-1.2911	
548	0.20877	-1.2922	
549	0.20918	-1.2929	
550	0.20959	-1.2932	
551	0.2098	-1.2933	
552	0.21005	-1.2933	
553	0.21032	-1.2933	
554	0.21062	-1.2932	
555	0.21094	-1.293	
556	0.21127	-1.2929	
557	0.21162	-1.2928	
558	0.21196	-1.2928	
559	0.21231	-1.293	
560	0.21266	-1.2933	
561	0.21302	-1.2938	
562	0.21337	-1.2946	
563	0.21373	-1.2956	
564	0.21408	-1.2969	
565	0.21444	-1.2985	
566	0.21479	-1.3003	
567	0.21515	-1.3025	
568	0.21551	-1.3049	
569	0.21587	-1.3075	
570	0.21623	-1.3104	
571	0.21659	-1.3135	
